 i tirsdags	2458
 i torsdags	2459
-agtigt	266
-bakke	609
-behandler	1843
-borg	244
-hed	1712
-idiot	1159
-inde	83
-kasse	609
-kollegium	111
-løs	263
-mester	497
-passer	1248
-posten	312
-s	77;1365;1711
-side	1791
-sikring	533;2958
-værk	948
fodre	181
folder	362
folk	1019;1449
fond	1341;3098
for	1364;1364;1364;1364
for (konj.)	615
for at være på den sikre side	533;771
for det andet	573
for det femte	1851
for det fjerde	1741
for det første	1224
for det niende	1855
for det ottende	1854
for det sjette	1852
for det syvende	1853
for det tredje	1183
for eksempel	795
for en sikkerheds skyld	533;771
for fanden	3018
for fem dage siden	1437
for fire dage siden	1436
for lidt	100;693
for lille	307;780;1310
for længst	363
for mange år siden	363
for meget	586
for morskabs skyld	709
for nylig	704
for sent	603;643
for sig selv	238
for sjov	308;709
for smal	1310
for små	1310
for tiden	626;1814
for tidligt	295
for to dage siden	1129
for tre dage siden	1447
for tæt	929
for øjeblikket	1814
for-	910
foran	1000;2953
forandre	198;827
forarget	415
forbavse	741
forbedring	632
forbeholdt sig selv	432
forberede	491
forbi	602;666
forbier	602;1793
forbindelse	817;817;817;999;1312
forbløffe	741
forbløffet	1156
forbrug	589;1255
forbruger	589
forbudt	831
fordel	604
fordele	92
fordeling	92
fordi	615;710;1189
fordoble	1238
fordom	640
fordømme	640
forebygge	837
foredrag	3027
foregive	310
foregå	81
forekomme	399
forekomme anderledes	1856
forelske sig	105;106
forelske sig i (nogen eller noget)	3074
foreløbig	897
forening	2954
foreslå	683
forestille	898
forestille sig	348;672
forestilling	310;1039
foretage	80
foretrække	2992
forfatter	382
forfra	130;740
forfulgt af (uheld e.l.)	390
forfærdelig	1018;1153;1240
forføre	2955
forgiftning	952
forgude	2031
forgæves	1793
forhandle	723
forhandling	723
forhindret	927
forhindring	927
forhold	2956;2956
forhøre sig	117
forkaste	985
forkert	915;2947
forklare	180
forklaring	180
forkynde	439
forkælet	838
forkølelse	1083
forkølet	1083
forlade	1337
forlag	513
forlange	875
forlig	642
forloren	116
forlovet	2044
forlænge	3070
forlængelse	3070
forløb	403;2994
form	1168;1168;1168
formand	1372;2079
formel	1073;1366
formiddag	324
formindske	1258
formue	912;925
formular	3092
formål	755
formørkelse	331
fornuftig	329
fornærmet	415
fornøjelse	308
forpustet	267;1841
forrest	1000
forretning	426;426
forråd	3098
forsamling	111;111
forside	1791
forsikre	2958
forsikring	2958
forsinket	603;643
forske	819
forskel	530
forskellig	530;532
forskellige	660;959
forskellige slags	660
forskellige typer	660
forskning	819
forskrækket	2404
forslag	683
forsorg	181
